country,medialist
Angola,"['rna.ao', 'tpa.sapo.ao', 'voaportugues.com', 'angonoticias.com', 'angola24.net', 'angola24horas.com', 'angolaglobal.net', 'actsa.org', 'angolamonitor.co.ao', 'angolanas.net', 'club-k.net', 'portaldeangola.com', 'redeangola.info', 'sapo.ao', 'africa21digital.com', 'africatoday.co.ao', 'economiaemercado.sapo.ao', 'exame.co.ao', 'rumo.co.ao', 'jornaldeangola.sapo.ao', 'portalangop.co.ao', 'cabindanation.net', 'ibinda.com', 'agora.co.ao', 'jornaldeeconomia.sapo.ao', 'expansao.co.ao', 'jornalf8.net', 'jornaldosdesportos.sapo.ao', 'mercado.co.ao', 'novagazeta.co.ao', 'novojornal.co.ao', 'opais.co.ao', 'radiodespertarangola.net', 'radioecclesia.org', 'semanarioeconomico.co.ao']"
Latin America,"['ntn24.com', 'telesurtv.net', 'americalatina.org.br', 'businessreviewamericalatina.com', 'bnamericas.com', 'ladb.unm.edu', 'laht.com', 'latincorrespondent.com', 'latinnews.com', 'latinreporters.com', 'mercamerica.es', 'americaeconomia.com', 'latintrade.com', 'es.latintrade.com', 'latinbusinesschronicle.com', 'lat.wsj.com', 'site.adital.com.br', 'lta.reuters.com']"
Cambodia,"['tv9.com.kh', 'tvk.gov.kh', 'camnews.org', 'cnv.org.kh', 'cambodiawatch.net', 'thecambodianews.net', 'cambodiantimes.com', 'kohsantepheapdaily.com.kh', 'rkdnews.com', 'akp.gov.kh', 'cambodiadaily.com', 'kampucheathmey.com', 'moneaksekar.com', 'phnompenhpost.com', 'watphnom-news.com']"
Guinea,"['rtg-conakry.com', 'radio-kankan.com', 'africaguinee.com', 'aminata.com', 'aujourdhui-en-guinee.com', 'conakryonline.com', 'guinea-forum.org', 'guineatime.com', 'guinee7.com', 'guinee24.com', 'guinee360.com', 'guineeactu.info', 'guineeconakry.info', 'guineenews.org', 'guineepresse.info', 'hafianews.com', 'infoguinee.com', 'kababachir.com', 'lexpressguinee.com', 'mediaguinee.net', 'nlsguinee.com', 'nrgui.com', 'guinée.info', 'lejourguinee.com', 'lelynx.net', 'enqueteur-gn.info']"
Yemen,"['almasirah.net', 'azaal.tv', 'suhail.net', 'yementodaytv.net', 'ababiil.net', 'albadell.net', 'aleshteraki.net', 'al-tagheer.com', 'hournews.net', 'lahjnews.net', 'mosnad.com', 'newyemen.net', 'newsyemen.net', 'saadahpress.net', 'sahafah.net', 'sahafah24.net', 'tadamon-ye.org', 'yemenat.net', 'yemennewstraffic.com', 'yemennewsgate.net', 'yemen-now.com', 'yemenonline.info', 'yemenportal.net', 'yemenpost.co', 'yemen-press.com', 'yemenvoice.net', 'yemen-media.net', 'yen-news.com', 'althawranews.net', 'sabanews.net', '14october.com', 'adenalghad.net', 'adenalyoum.com', 'radioadenfm.net', 'adenlife.net', 'aden-press.com', '26sep.net', 'alghad.com', 'alhadath-yemen.com', 'almethaq.net', 'almotamar.net', 'almotamarenglish.net', 'alsahwa-yemen.net', 'en.althawranews.net', 'alwahdawi.net', 'alwasat-ye.net', 'marebpress.net', 'nationalyemen.com', 'sanaa-press.com', 'yementimes.com', 'yemen-today.net', 'sayunradio.info', 'algomhoriah.net', 'taizradio.net']"
Germany,[]
Suriname,"['atv.sr', 'radio10.sr', 'loopsuriname.com', 'srnieuws.com', 'starnieuws.com', 'suristart.com', 'waterkant.net', 'worldnieuws.com', 'dwtonline.com', 'dewest-online.com', 'dbsuriname.com', 'surinametimes.com']"
Israel,"['israelnationalnews.com', 'inn.co.il', '7kanal.co.il', 'iba.org.il', 'nana10.co.il', 'i24news.tv', 'glz.co.il', 'rashut2.org.il', 'israelradio.org', 'bull.co.il', 'dailyalert.org', 'debka.com', 'debka.co.il', 'news.google.co.il', 'israelinsider.com', 'mfa.gov.il', 'israelnewsagency.com', 'isranews.com', 'jerusalemonline.com', 'msn.com', 'isrinfo.org', 'news-israel.net', 'newsnow.co.il', 'one.co.il', 'semana.co.il', 'sikurmemukad.com', 'news.startpage.co.il', 'ar.timesofisrael.com', 'timesofisrael.com', 'fr.timesofisrael.com', 'cn.timesofisrael.com', 'walla.co.il', '7kanal.com', 'bicom.org.uk', 'israelam.com', 'israelenews.com', 'israelfaxx.com', 'israelinewsnow.com', 'juif.org', 'alsabar-mag.com', 'challenge-mag.com', 'israeltoday.co.il', 'globes.co.il', 'haaretz.com', 'haaretz.co.il', 'jpost.com', 'nrg.co.il', 'ynetnews.com', 'ynet.co.il', 'prnewswire.co.il', 'jta.org', 'yedhaifa.co.il', 'panet.co.il', 'sawt-alhaq.com', 'ourjerusalem.com', 'virtualjerusalem.com', 'yeshanews.com', 'sonara.net', 'alarab.net', 'akhbarna.com', 'aurora-israel.co.il', 'calcalist.co.il', 'israelhayom.com', 'israelhayom.co.il', 'mynet.co.il', 'courier.co.il', 'jtimes.co.il', 'themarker.com']"
Bangladesh,"['atnbangla.tv', 'betar.gov.bd', 'bbc.com', 'dw.com', 'jamunatv.net', 'ntvbd.com', 'en.ntvbd.com', 'parstoday.com', '24livenewspaper.com', '71sangbad.com', '71times.com', 'abnews24.com', 'agrodristi.com', 'ajkerkrishi.com', 'ajkershomoy.com', 'ajkersottasangbad24.com', 'akash24.com', 'alertnews24.com', 'allbdlive.com', 'alltimenews.com', 'alorkantho24.com', 'alorpath24.com', 'amadershomoy.biz', 'amarbangladesh-online.com', 'amazingbangla.com', 'anb24.net', 'aparadhbichitra.net', 'aparadhchokh24bd.com', 'aporadhshongbad.com', 'arthosuchak.com', 'asiabarta24.news', 'atntimes.com', 'azkerkhobor.com', 'bbarta24.net', 'en.bbarta24.net', 'bangla24live.com', 'banglabazarnews.com', 'banglakagoj24.com', 'banglakhaborbd.com', 'banglamail24.com', 'banglanews24.com', 'banglapress.com.bd', 'banglasongbad24.com', 'banglatribune.com', 'bangladeshbani24.com', 'bangladeshbarta24.com', 'bangladeshchronicle.net', 'independent-bangladesh.com', 'bangladeshnews.net', 'bdnews24us.com', 'bangladeshsun.com', 'bangladeshtimes24.com', 'banglarkhobor24.com', 'barta24live.net', 'bartabangla.com', 'bartabazar.com', 'bbc24news.com', 'bd24live.com', 'bddhoni.com', 'bdhotnews.com', 'bdjournal365.com', 'bdlawnews.com', 'bdlive24.com', 'bdmorning.com', 'bangla.bdnews24.com', 'bdnews24.com', 'bdnewsdesk.com', 'bdnewseveryday.com', 'bdnewstimes.com', 'bdreport24.com', 'bdsangbad24.com', 'bdtoday24.com', 'bdtodays.com', 'bdtype.com', 'en.bdtype.com', 'bdview24.news', 'bdvision24.com', 'bdwebnews.com', 'bengalinews24.com', 'biztech24.com', 'bnnonline24.com', 'boichitranews24.com', 'breakingnewsbd.online', 'breakingnewsbd24.com', 'bspn24.com', 'businessleader.club', 'cdnews24.com', 'crimebarta.com', 'crimebdnews24.com', 'crimeexpress24.com', 'crimereporter24.com', 'dailystockbangladesh.com', 'thedailytalash.com', 'en.thedailytalash.com', 'dainikshiksha.com', 'deshnews.net', 'deshnews24.com', 'deshebideshe.com', 'deshersangbad.com', 'dhakacrimenews24.com', 'dhakaprotidin.com', 'dhakatimes.com.bd', 'dhakatimes24.com', 'dhakatribune.com', 'dhakarnews.com', 'earthnews24.com', 'eurobdnews.com', 'famousnews24.com', 'fns24.com', 'freshnewsbd.com', 'gnewsbd24.com', 'globetodaybd.com', 'gonews24.com', 'hawker.com.bd', 'ibarta.com', 'i-news24.com', 'informationworldbd.com', 'jagonews24.com', 'en.jagonews24.com', 'bangla.jagoroniya.com', 'jagoroniya.com', 'jamunanews24.com', 'justnewsbd.com', 'khaskhabor.com', 'khoborprotidin24.com', 'lastnewsbd.com', 'latestbdnews.com', 'livepress24.com', 'msongbad.com', 'mknewsbd24.com', 'morningsun24.com', 'mridubhashan.com', 'bn.mtnews24.com', 'mtnews24.com', 'muktirbarta.com', 'nagorikkantha.com', 'natunbarta.com', 'natunsomoy.com', 'en.natunsomoy.com', 'natunkantho24.com', 'news69bd.com', 'news71online.com', 'newsagency24.com', 'newsbangla21.com', 'newsekattor.com', 'newsevent24.com', 'bangladesh-web.com', 'newsgarden24.com', 'newsmediabd24.com', 'newsofbangladesh.com', 'newspostbd.com', 'newsworldbd.com', 'nirbhiknews.com', 'nobobarta.com', 'onb24.com', 'onn24.com', '1newsbd.com', 'ournewsbd.com', 'ourtimebd.com', 'pacificnews24.com', 'pcnews24.com', 'photobazar24.com', 'photonews24.com', 'primenews.com.bd', 'primenewsbd.com', 'private-detectivebd.com', 'priyo.com', 'prohornews.com', 'prothombarta.com', 'protomsokal.com', 'protibedok.com', 'protikhon.com', 'purboposhchimbd.news', 'rajpath24.com', 'risingbd.com', 'real-timenews.com', 'english.rtnn.net', 'sahos24.com', 'en.sahos24.com', 'sangbad24.net', 'sangbadprotidin24.com', 'sbtv24.net', 'shadhinbangla24.com', 'shamolbangla24.com', 'sharebarta24.com', 'sharenews24.com', 'sheershanewsbd.com', 'sheershasangbad.com', 'shomoybarta24.net', 'snn24.com', 'somoysonglap.com', 'somoyerkonthosor.com', 'songbadshomogro.com', 'studentbd24.com', 'bn.sundaytimes24.com', 'taza-khobor.com', 'taranganews.com', 'techshohor.com', 'thebdexpress.com', 'english.thebdexpress.com', 'thedhakapost.com', 'thedhakareport.com', 'thepeoplesnews24.com', 'bangla.thereport24.com', 'english.thereport24.com', 'etherunnernews.com', 'timenewsbd.com', 'timewatch.com.bd', 'timesofbangla.com', 'tulpar24.com', 'u71news.com', 'bangla.vnewsbd.com', 'vnewsbd.com', 'worldkhobar.com', 'news.zoombangla.com', 'dhakacourier.com.bd', 'firstnewsmagazine.com', 'dainikamadershomoy.com', 'amardeshonline.com', 'bhorerkagoj.net', 'mzamin.com', 'kalerkantho.com', 'ekalerkantho.com', 'prothom-alo.com', 'en.prothom-alo.com', 'dailyinqilab.com', 'ittefaq.com.bd', 'clickittefaq.com', 'dailyjanakantha.com', 'jugantor.us', 'bssnews.net', 'unbnews.org', 'amaderbarisal.com', 'dailybangladeshbani.com', 'barisal24.com', 'barisaltimes24.com', 'barisaltoday.com', 'chittagongdaily.com', 'ctgtimes.com', 'dainikazadi.org', 'dainikpurbodesh.com', 'epurbodesh.com', 'dainikpurbokone.net', 'edainikpurbokone.net', 'doiniktajakhobor.com', 'weeklyamod-bd.com', 'comillarkagoj.com', 'amadercomillaa.com', 'ajkalerkhobor.com', 'ajkerpatrika.com', 'al-ihsan.net', 'alokitobangladesh.com', 'amaderorthoneeti.com', 'bd-pratidin.com', 'ebdpratidin.com', 'bhorerdhani.com', 'weeklyblitz.net', 'bonikbarta.com', 'amar-sangbad.com', 'enamar-sangbad.com', 'dailyaparadhtothya.com', 'arthoniteerkagoj.com', 'manobkantha.com', 'dailyniropekkha.com', 'dailysangram.com', 'dailysharebiz.net', 'shokalerkhobor24.com', 'daily-sun.com', 'edailysun.com', 'dailyvorerpata.com', 'dainikdestiny.com', 'sorejominbarta.com', 'hazarikapratidin.com', 'weeklyholiday.net', 'jjdin.com', 'djanata.com', 'natun-barta.com', 'newagebd.net', 'protidinersangbad.com', 'bangla.samakal.net', 'samakal.net', 'sangbadprotidin.com', 'somoyerkantha.com', 'thebangladeshtoday.com', 'dailyagnishikha.com', 'bangladeshshomoy.com', 'dailybartoman.com', 'bhorer-dak.com', 'ebhorerdak.com', 'dhakardak-bd.com', 'dailydinkal.net', 'gonokantho.com', 'dailynayadiganta.com', 'ennayadiganta.com', 'observerbd.com', 'dailypeoplestime.com', 'sangbadkonika.com', 'thedailystar.net', 'suprobhat.com', 'esuprobhat.com', 'thefinancialexpress-bd.com', 'thegoodmorning.net', 'theindependentbd.com', 'eindependentbd.com', 'thedailynewnation.com', 'newstoday.com.bd', 'thedailysangbad.com', 'weeklysonarbangla.net', 'gazipurtribune.com', 'dailyfulki.com', 'bagerhatnews.com', 'mathabhanga.com', 'gramerkagoj.com', 'jessore24.com', 'jhenaidahnews.com', 'khulnanews.com', 'purbanchal.com', 'dailyandolonerbazar.com', 'kushtianews.com', 'kushtianews24.com', 'thekushtiatimes.com', 'maguranews.com', 'meherpurnews.com', 'patradoot.net', 'onabil.net', 'banglarkotha.net', 'dailynews.com.bd', 'en.dailynews.com.bd', 'dainiksylhet.com', 'sylhetnewsonline.com']"
Rwanda,"['rba.co.rw', 'newsofrwanda.com', 'rwandawire.com', 'therwandan.com', 'imvahonshya.co.rw', 'rnanews.com', 'newtimes.co.rw', 'focus.rw']"
Turkmenistan,"['azathabar.com', 'habartm.org', 'arzuw.tm', 'asgabat.net', 'chrono-tm.org', 'gundogar.org', 'gundogar-news.com', 'infoabad.com', 'newscentralasia.net', 'tmhabar.com', 'turkmenbusiness.org', 'turkmeninform.com', 'turkmenportal.com', 'turkmenistan.ru', 'turkmenistan.gov.tm', 'turkmenistanlive.com', 'turkmenistannews.net', 'turkmenistaninfo.ru', 'zamanturkmenistan.com', 'tdh.gov.tm']"
American Samoa,"['manuatele.net', 'samoanews.com', 'nytimes.com']"
Libya,"['alnabaa.tv', 'ltv.ly', 'libyabizinfo.com', 'libya-businessnews.com', 'libyaherald.com', 'newsinlibya.com', 'libyanewstoday.com', 'libya-today.com', 'febpress.ly', 'qurynanew.com', 'akhbarlibya24.net', 'lana-news.ly', 'brnieq.com', 'tripolipost.com']"
Iceland,"['bylgjan.visir.is', 'ruv.is', 'textavarp.is', 'amx.is', 'icenews.is', 'iceland-dori.blogspot.com', 'icelandmonitor.mbl.is', 'pressan.is', 'scandinavianow.com', 'sport.is', 'visir.is', 'icelandreview.com', 'mbl.is', 'austurfrett.is', 'hornafjordur.is', 'kopavogsbladid.is', 'dv.is', 'frettatiminn.is', 'grapevine.is', 'vb.is', 'akv.is', 'vikudagur.is', 'skarpur.is', 'huni.is', 'feykir.is', 'sudurland.is', 'sunnlenska.is', 'eyjafrettir.is', 'eyjar.net', 'fjardarposturinn.is', 'vf.is', 'bb.is', 'patreksfjordur.is', 'skessuhorn.is', 'stykkisholmsposturinn.is']"
Cote d'Ivoire,"['rti.ci', 'abidjan.net', 'abidjantv.net', 'afrik53.com', 'alerte-info.net', 'atoo.ci', 'connectionivoirienne.net', 'cote-d-ivoire.info', 'cote-d-ivoire.net', 'ivoirediaspo.net', 'imatin.net', 'ivoireactu.net', 'ivoire-presse.com', 'ivorian.net', 'ladepechedabidjan.info', 'rumeursdabidjan.net', 'sport-ivoire.ci', 'fratmat.info', 'linfodrome.com', 'notrevoie.com', 'aip.ci', 'gbich.com', 'lenouveaureveil.com', 'lepatriote.net', 'lelephantdechaine.net', 'lintelligentdabidjan.ci', 'topvisages.net']"
Saint Martin,"['sxminfo.fr', 'lepelican-journal.com', 'sxmfaxinfo.com', 'lavoixfm.com', 'stmartinweek.com']"
United Kingdom,[]
Cameroon,"['crtv.cm', 'africapresse.com', 'bonaberi.com', 'camnews24.com', 'camer.be', 'camerpost.com', 'cameroonjournal.com', 'cameroon-info.net', 'cameroononline.org', 'cameroonweb.com', 'cameroun24.net', 'camerounactu.net', 'camerounlink.net', 'cameroun-online.com', 'cameroonwebnews.com', 'journalducameroun.com', 'news.mboa.info', 'newsducamer.com', 'postwatchmagazine.com', 'cameroon-tribune.cm', 'germinalnewspaper.com', 'journal.rdpcpdm.cm', 'mutations-online.info', 'journaldikalo.info', 'lanouvelleexpression.info', 'quotidienlemessager.net', 'leffortcamerounais.com', 'leffortcamerounais.info', 'bamendaonline.net', 'cameroonpostline.com', 'k-towndiary.com', 'edennewspaper.org']"
New Zealand,"['newstalkzb.co.nz', 'radiolive.co.nz', 'radionz.co.nz', 'radiosport.co.nz', '3news.co.nz', 'tvnz.co.nz', 'clearnet.co.nz', 'news.google.co.nz', 'msn.com', 'newzealandnews.net', 'newsroom.co.nz', 'newswire.co.nz', 'home.nzcity.co.nz', 'nzedge.com', 'scoop.co.nz', 'stuff.co.nz', 'nz.news.yahoo.com', 'manaonline.co.nz', 'nzbusiness.co.nz', 'agrihq.co.nz', 'nbr.co.nz', 'nzherald.co.nz', 'nzmirror.com', 'inztimes.co.nz', 'nzcatholic.org.nz', 'nznewsuk.co.uk', 'aucklandnews.net', 'theaucklander.co.nz', 'punjabiherald.co.nz', 'devonportflagstaff.co.nz', 'times.co.nz', 'waihekegulfnews.co.nz', 'deedprint.co.nz', 'rotoruadailypost.co.nz', 'bayofplentytimes.co.nz', 'sunlive.co.nz', 'whakatanebeacon.co.nz', 'ashburtonguardian.co.nz', 'christchurchmail.localnewspapers.co.nz', 'christchurchstar.localnewspapers.co.nz', 'selwyntimes.co.nz', 'gmc.co.nz', 'gisborneherald.co.nz', 'hawkesbaytoday.co.nz', 'wairoastar.co.nz', 'ohakune.info', 'wanganuichronicle.co.nz', 'nelsonweekly.co.nz', 'northlandage.co.nz', 'northernadvocate.co.nz', 'printshopcromwell.co.nz', 'dunedintv.co.nz', 'odt.co.nz', 'oamarumail.co.nz', 'queenstowntimes.co.nz', 'digital.theensign.co.nz', 'newslink.localnewspapers.co.nz', 'theeye.localnewspapers.co.nz', 'digital.southlandexpress.co.nz', 'fiordlandadvocate.co.nz', 'fiordlandfocus.co.nz', 'thetom.co.nz', 'stratfordpress.co.nz', 'waimeaweekly.co.nz', 'waitomonews.co.nz', 'peninsulapost.co.nz', 'pcn.co.nz', 'times-age.co.nz', 'capitalmag.co.nz', 'greystar.co.nz', 'westportnews.co.nz']"
Mongolia,"['mongolnews.mn', 'tsahimurtuu.mn', 'mad-mongolia.com', 'dnn.mn', 'zuuniimedee.mn', 'news_en.montsame.mn', 'jp.montsame.mn', 'montsame.mn', 'khumuunbichig.montsame.mn', 'ru.montsame.mn', 'cn.montsame.mn', 'ubpost.mongolnews.mn']"
Nicaragua,"['canal2tv.com', 'canal10.com.ni', 'vivanicaragua.com.ni', 'canal15.com.ni', 'cdnn23.com', 'el19digital.com', 'nicaraguadispatch.com', 'notifax.com.ni', 'nicaraguahoy.info', 'confidencial.com.ni', 'elobservadoreconomico.com', 'elnuevodiario.com.ni', 'laprensa.com.ni', 'desdechinandega.com', 'bolsadenoticias.com.ni', 'hoy.com.ni', 'nuevaya.com.ni', 'trincheraonline.com']"
Gibraltar,"['gbc.gi', 'yourgibraltartv.com', 'gibnews.net', 'gibraltarfinance.com', 'thegibraltarmagazine.com', 'insightgibraltar.com', 'chronicle.gi', 'gibraltarolivepress.com', 'thenewpeople.net', 'panorama.gi', 'vox.gi']"
Morocco,"['medi1.com', 'yabiladi.com', 'al-jarida.net', 'lobservateurdumaroc.info', 'marocpress.com', 'marocpress.ma', 'menara.ma', 'moroccantimes.com', 'moroccobusinessnews.com', 'marocgazette.com', 'moroccomedia.com', 'moroccomirror.com', 'moroccoworldnews.com', 'newsly.ma', 'lagachettedumaroc.com', 'telquel.ma', 'alalam.ma', 'almassaepress.com', 'assabah.press.ma', 'bayanealyaoume.press.ma', 'lematin.ma', 'map.ma', 'mapnews.ma', 'eljadida.com', 'ahdath.info', 'albayane.press.ma', 'alittihad.press.ma', 'almaghribia.ma', 'jadidpresse.com', 'aufait.ma', 'aujourdhui.ma', 'financenews.press.ma', 'lagazettedumaroc.com', 'lnt.ma', 'lavieeco.com', 'courriercasablanca.com', 'journaldusport.ma', 'lereporter.ma', 'leconomiste.com', 'leseco.ma', 'libe.ma', 'maroc-hebdo.press.ma', 'emarrakech.info', 'oujdacity.net', 'asdae.com', 'lopinion.ma', 'lejournaldetanger.com']"
Estonia,"['uudised.err.ee', 'rus.err.ee', 'sport.err.ee', 'delfi.ee', 'rus.delfi.ee', 'estonianfreepress.com', 'ee.everyday.com', 'hot.ee', 'balticguide.ee', 'kesknadal.ee', 'aripaev.ee', 'ekspress.delfi.ee', 'epl.delfi.ee', 'maaleht.delfi.ee', 'ohtuleht.ee', 'postimees.ee', 'bns.ee', 'sonumitooja.ee', 'baltictimes.com', 'baltische-rundschau.eu', 'dv.ee', 'rus.postimees.ee', 'harjuelu.ee', 'kompravda.eu', 'kuldnebors.ee', 'linnaleht.ee', 'mke.ee', 'moles.ee', 'nelli.ee', 'soov.ee', 'hiiuleht.ee', 'aserivv.ee', 'avinurme.ee', 'pohjarannik.ee', 'rus.pohjarannik.ee', 'prospekt.ee', 'narvaleht.ee', 'gazeta.ee', 'jt.ee', 'vooremaa.ee', 'peipsirannik.info', 'online.le.ee', 'kuulutaja.ee', 'vnl.ee', 'virumaateataja.ee', 'parnupostimees.ee', 'polvakoit.ee', 'setomaa.ee', 'sonumid.ee', 'meiemaa.ee', 'saartehaal.ee', 'eestikirik.ee', 'valgamaalane.ee', 'sakala.ajaleht.ee', 'lounaleht.ee', 'umaleht.ee', 'vorumaateataja.ee']"
Near and Middle East Regional,"['alarabiya.net', 'english.alarabiya.net', 'farsi.alarabiya.net', 'urdu.alarabiya.net', 'alhadath.net', 'aljazeera.net', 'aljazeera.com', 'bbc.co.uk', 'cnbcarabia.com', 'arabic.cnn.com', 'edition.cnn.com', 'ainalyaqeen.com', 'al-bab.com', 'albawaba.com', 'aljazeerah.info', 'al-monitor.com', 'ameinfo.com', 'amin.org', 'asmainfo.com', 'bi-me.com', 'caspiansea.com', 'elaph.com', 'eremnews.com', 'eurasianet.org', 'news.google.com', 'en.thegreatmiddleeast.com', 'thegreatmiddleeast.com', 'gulfinthemedia.com', 'kippreport.com', 'kurdmedia.com', 'thisissyria.net', 'themedialine.org', 'menafn.com', 'middleeastmonitor.com', 'mid-east.info', 'wn.com', 'middleeastdaily.com', 'middleeasteye.net', 'menewsline.com', 'middle-east-online.com', 'me-ontarget.org', 'moheet.com', 'naseej.net', 'yourmiddleeast.com', 'zawya.com', 'al-waie.org', 'arabic.arabianbusiness.com', 'arabianbusiness.com', 'middleeast-business.com', 'meed.com', 'mees.com', 'meionline.com', 'wrmea.org', 'mideast-times.com', 'washingtonpost.com', 'iinanews.com', 'ara.reuters.com']"
Haiti,"['telehaiti.com', 'voanouvel.com', 'alterpresse.org', 'ayitinews.com', 'haitiactualites.com', 'haitigazette.com', 'haitinews509.net', 'hpnhaiti.com', 'infohaiti.net', 'loophaiti.com', 'touthaiti.com', 'haitifeed.com', 'haitilibre.com', 'haitinews.net', 'haitiwebs.com', 'uhhp.com', 'wehaitians.com', 'lematinhaiti.com', 'lenouvelliste.com', 'ahphaiti.org', 'haitienmarche.com', 'haitiprogres.com', 'radioteleantillesinternationalhaiti.com', 'radiogalaxiehaiti.com', 'radiokiskeya.com', 'metropolehaiti.com', 'superstarhaiti.com', 'radiotelevisioncaraibes.com', 'radiovision2000haiti.net', 'scoopfmhaiti.com', 'signalfmhaiti.com']"
Liberia,"['mylbsonline.net', 'theperspective.org', '1847post.com', 'bushchicken.com', 'gnnliberia.com', 'liberian-connection.net', 'theliberiandialogue.org', 'liberianforum.com', 'theliberianjournal.com', 'liberianonline.com', 'theliberiantimes.weebly.com', 'thepalavahut.org', 'theinquirer.com.lr', 'liberianewsagency.org', 'liberianobserver.com', 'frontpageafricaonline.com', 'heritageliberia.net', 'monroviainquirer.com', 'thenewdawnliberia.com', 'tnrliberia.net', 'thenewslib.com']"
Bahrain,"['twentyfoursevennews.com', 'bahrainbiznews.com', 'bahrainmirror.com', 'bizbahrain.com', 'bahrainnews.net', 'vob.org', 'bahrainthismonth.com', 'akhbar-alkhaleej.com', 'alayam.com', 'bna.bh', 'alwasatnews.com', 'alwatannews.net', 'gdnonline.com']"
Serbia,"['b92.net', 'dw.com', 'happytv.tv', 'rs.n1info.com', 'prva.rs', 'radiobeograd.rs', 'slobodnaevropa.org', 'rts.rs', 'pink.rs', 'smedia.rs', 'glasamerike.net', 'aktuelno.net', 'ekapija.com', 'e-novine.com', 'krstarica.com', 'mfa.gov.rs', 'mondo.rs', 'mozzartsport.com', 'nadlanu.com', 'naslovi.net', 'noizz.rs', 'pravda.rs', 'sportske.net', 'srbija.gov.rs', 'svetplus.com', 'hellomagazin.rs', 'nin.co.rs', 'nspm.rs', 'standard.rs', 'svet.rs', 'vreme.com', 'blic.rs', 'danas.rs', 'glas-javnosti.rs', 'politika.rs', 'novosti.rs', 'beta.rs', 'beta-video.tv', 'fonet.rs', 'sportskacentrala.com', 'tanjug.rs', 'rtvbor.rs', 'recnaroda.co.rs', 'sattelevizija.com', 'alo.rs', 'belgradeinsight.com', 'beograd.rs', 'politika-ekspres.net', 'informer.rs', 'balkans.kp.ru', 'kurir.rs', 'pecat.info', 'pressonline.rs', 'pregled.rs', 'zurnal.rs', 'telegraf.rs', 'studiob.rs', 'svedok.rs', 'becejski-mozaik.co.rs', 'dnevnik.rs', 'gradjanski.rs', 'hl.rs', 'kanal9tv.com', 'novosadska.tv', '021.rs', 'rtv.rs', 'rtvpanonija.rs', 'ruskeslovo.com', 'rtvok.com', 'radiobus.rs', 'k-013.com', 'pancevac-online.rs', 'rtvpancevo.rs', 'revija.kolubara.info', 'vtv.rs', 'loznicainfo.com', 'loznickenovosti.com', 'glaspodrinja.rs', 'tvsabac.co.rs', 'caglas.rs', 'rtvgalaksija.rs', 'juznevesti.com', 'narodne.com', 'ntv.rs', 'belami.rs', 'presheva.com', 'preshevajone.com', 'rtv-vranje.rs', 'vranjske.co.rs', 'rtvkraljevo.com', 'sloboda-pirot.rs', 'tvpirot.rs', 'krusevacgrad.rs', 'jefimija.tv', 'radiostoplus.com', 'rtvnp.rs', 'bunjevci.net', 'hetnap.rs', 'hrvatskarijec.rs', 'magyarszo.rs', 'pannonrtv.com', 'subotickenovine.rs', 'tvsubotica.com', 'yueco.rs', 'kikindske.rs', 'sremskenovine.co.rs', 'sremska.tv', 'kragujevacke.rs', 'rtk.co.rs', 'tvk9.ws.rs', 'besttv.rs', 'zajecaronline.com', 'hkudvladimirnazor.com', 'somborskenovine.co.rs', 'tvlav.rs', 'uzickanedelja.rs']"
